timestamps,TP9,AF7,AF8,TP10,Right AUX
1533057448.499,35.645,45.41,-8.789,29.785,16.602
1533057448.503,49.316,47.363,29.785,47.852,35.645
1533057448.507,33.691,46.387,11.719,49.316,50.293
1533057448.511,18.066,44.434,-19.531,35.645,38.086
1533057448.515,17.578,42.48,-27.832,33.691,-15.625
1533057448.519,31.25,36.621,-22.949,33.691,1.465
1533057448.523,42.969,36.621,4.395,32.227,27.344
1533057448.527,30.273,39.062,17.09,34.668,15.625
1533057448.531,20.02,36.621,-8.301,34.18,29.297
1533057448.534,19.043,36.133,-18.555,29.785,72.266
1533057448.538,28.809,34.18,-12.207,33.691,52.734
1533057448.542,49.805,42.48,7.812,41.992,26.855
1533057448.546,40.039,43.457,0.0,35.156,46.387
1533057448.55,23.438,33.691,-19.043,26.855,48.34
1533057448.554,17.578,32.227,-34.668,20.02,52.246
1533057448.558,29.785,29.297,-38.086,20.02,-15.137
1533057448.562,48.828,32.227,-4.883,35.156,17.09
1533057448.566,41.504,32.715,7.324,41.992,43.457
1533057448.57,31.25,30.273,2.93,36.621,28.32
1533057448.574,26.855,37.109,10.254,29.297,103.027
1533057448.577,39.551,38.574,-17.09,34.18,41.992
1533057448.581,52.246,38.086,0.977,38.086,-2.93
1533057448.585,43.945,38.574,43.945,41.992,60.547
1533057448.589,38.574,33.691,16.113,40.527,-3.906
1533057448.593,24.902,32.227,-14.16,25.879,-17.578
1533057448.597,30.762,35.645,-32.227,23.438,-11.719
1533057448.601,55.664,38.574,-4.395,32.715,20.508
1533057448.605,49.316,38.574,8.789,40.039,18.066
1533057448.609,28.809,35.156,-18.555,38.086,-4.395
1533057448.613,18.555,38.574,-21.484,21.973,35.645
1533057448.617,26.367,43.945,-16.602,13.184,104.004
1533057448.62,44.922,41.016,-7.324,20.02,81.055
1533057448.624,42.969,41.016,15.137,25.879,18.066
1533057448.628,29.297,41.992,11.719,27.344,26.367
1533057448.632,18.555,45.898,-6.348,20.508,118.652
1533057448.636,25.391,45.898,-20.02,16.113,90.82
1533057448.64,44.434,40.527,0.0,26.367,27.344
1533057448.644,44.922,41.504,45.41,33.691,36.621
1533057448.648,32.227,40.039,48.828,32.227,12.207
1533057448.652,21.973,34.18,20.508,24.902,10.254
1533057448.656,21.973,26.855,3.418,16.602,48.828
1533057448.659,45.41,32.227,28.32,23.926,26.855
1533057448.663,57.617,39.551,60.059,38.574,-8.301
1533057448.667,29.297,30.762,38.574,24.902,-20.996
1533057448.671,9.766,24.414,3.906,6.348,-33.203
1533057448.675,14.16,24.902,4.883,7.812,4.883
1533057448.679,32.715,27.344,17.09,13.672,-19.531
1533057448.683,39.551,36.133,39.551,17.09,39.551
1533057448.687,23.438,39.062,27.344,20.996,47.363
1533057448.691,12.695,33.203,-5.371,18.555,-4.883
1533057448.695,17.578,36.133,-14.16,15.137,62.988
1533057448.699,32.715,34.668,-18.066,29.297,54.199
1533057448.702,42.969,31.25,12.207,43.457,69.336
1533057448.706,32.227,34.18,34.668,41.016,75.684
1533057448.71,16.602,33.691,15.625,32.715,67.383
1533057448.714,14.16,31.738,-12.207,24.902,34.668
1533057448.718,27.344,30.273,-16.113,27.344,-25.391
1533057448.722,39.062,37.109,12.207,37.109,-12.695
1533057448.726,31.25,41.016,5.859,36.621,1.465
